"","LV1","LV2","LV3","LV4","LV5","LV6","LV7","LV8","LV9","LV10","LV11","LV12","LV13","LV14","LV15","LV16","LV17","LV18","LV19","LV20","LV21","LV22","LV23","LV24","LV25"
"NME4",0.1417236328125,0.0487060546875,0.0160675048828125,0.1121826171875,0.0263214111328125,0.1416015625,0.00119876861572266,0.040435791015625,0.10272216796875,0.00917816162109375,0.0293121337890625,0.06854248046875,0.086181640625,0.047210693359375,0.030426025390625,0.00400161743164062,0.031341552734375,0.038055419921875,0.0638427734375,0.0662841796875,0.0216827392578125,0.04718017578125,0.040557861328125,0.0673828125,0.00221824645996094
"RPL8",0.1982421875,0.1480712890625,0.0180816650390625,0.1580810546875,0.0283966064453125,0.1033935546875,0.02703857421875,0.0272064208984375,0.1109619140625,0.00291252136230469,0.0144577026367188,0.1480712890625,0.021942138671875,0.038421630859375,0.0267791748046875,0.0059814453125,0.024932861328125,0.043212890625,0.059417724609375,0.055389404296875,0.0250701904296875,0.039337158203125,0.09136962890625,0.050811767578125,0.02032470703125
"CYTH4",0.000118434429168701,0.040069580078125,0.08868408203125,0.0179901123046875,0.052215576171875,0.0125808715820312,0.051727294921875,0.21630859375,0.0129241943359375,0.059722900390625,0.0189361572265625,0.0103759765625,0.025665283203125,0.0111007690429688,0.215576171875,0.08673095703125,6.55651092529297e-07,0.06109619140625,0.0791015625,0.00345420837402344,0.0266265869140625,0.0650634765625,0.0477294921875,0.00479888916015625,2.37226486206055e-05
"TMED7",0.15087890625,0.328369140625,0.115478515625,0.000681400299072266,0.1251220703125,0.00736618041992188,0.07977294921875,0.0946044921875,0.00408935546875,0.000755786895751953,1.78217887878418e-05,0.043670654296875,0.0948486328125,0.000105977058410645,6.25848770141602e-06,9.66191291809082e-05,0.048095703125,1.29342079162598e-05,5.54323196411133e-06,0.07891845703125,0.078125,0.09375,0.0135574340820312,0.00277328491210938,0.147705078125
"MAPK8IP3",0.2037353515625,0.2164306640625,0.145263671875,0.000167131423950195,0.000553607940673828,0.0041351318359375,0.09820556640625,0.00177574157714844,0.00326156616210938,0.000557899475097656,0.008819580078125,0.07891845703125,0.051422119140625,0.01715087890625,0.0887451171875,0.0230712890625,0.0223541259765625,0.052276611328125,0.149658203125,0.1541748046875,0.0266265869140625,0.1103515625,0.066650390625,0.0367431640625,0.06488037109375
"PPP4C",0.0758056640625,0.005615234375,0.050201416015625,0.1309814453125,0.045501708984375,0.1058349609375,0.050018310546875,0.077880859375,0.0413818359375,0.11114501953125,0.0645751953125,0.0232696533203125,0.0426025390625,0.07672119140625,0.111572265625,0.1253662109375,0.012542724609375,0.1343994140625,0.08642578125,0.00388526916503906,0.06884765625,0.059478759765625,0.0767822265625,0.0631103515625,0.00104808807373047
"ACAP1",0.25439453125,0.0830078125,0.06573486328125,0.095703125,6.12139701843262e-05,0.08721923828125,0.10943603515625,0.0297088623046875,0.0150833129882812,0.00335502624511719,0.0645751953125,0.029449462890625,0.00106048583984375,0.0167083740234375,0.2109375,0.039276123046875,0.0132064819335938,0.0670166015625,0.1826171875,0.10296630859375,5.68032264709473e-05,0.00257110595703125,0.0958251953125,0.0138473510742188,1.85966491699219e-05
"SNAP23",0.0413818359375,0.10577392578125,0.16845703125,0.048095703125,0.043243408203125,0.00687026977539062,4.91738319396973e-05,0.1240234375,0.02197265625,0.09881591796875,0.06695556640625,0.00766754150390625,0.14892578125,0.0244293212890625,0.04071044921875,0.1669921875,0.1051025390625,0.0240936279296875,0.000890731811523438,0.0361328125,0.0853271484375,0.087890625,1.01923942565918e-05,0.0123825073242188,0.08074951171875
"MRPS25",0.2454833984375,0.2093505859375,0.0714111328125,0.0633544921875,0.03118896484375,0.00144577026367188,0.00197982788085938,0.0082244873046875,0.0867919921875,2.50339508056641e-06,0.0116119384765625,0.182861328125,0.0021514892578125,0.00421524047851562,0.000272989273071289,0.000199794769287109,0.050872802734375,9.49501991271973e-05,0.03369140625,0.11328125,0.00604629516601562,0.044036865234375,0.056854248046875,0.00296592712402344,0.0254058837890625
"ASGR2",0.00290107727050781,0.06976318359375,0.06231689453125,0.00946044921875,0.1588134765625,0.10198974609375,0.000109434127807617,0.08856201171875,0.0251312255859375,0.0589599609375,9.59038734436035e-05,0.055999755859375,2.98023223876953e-07,0.053985595703125,0.1287841796875,1.37686729431152e-05,7.74860382080078e-07,0.00203323364257812,0.031768798828125,0.000165939331054688,0.2276611328125,0.06488037109375,0.07916259765625,0.12310791015625,0.07232666015625
