"","None_1","None_2","Basal_Normal","LumA_LumB","Basal"
"IBSP",0.00108877405587061,0.00104958562828642,0.00111969360392209,0.00115275694554767,0.00114802557746698
"RABEP1",0.0440968045228045,0.0456422288724738,0.0466166977145469,0.0494072382108973,0.0462072928753069
"HMGB3",0.0329595697764872,0.0336856284305857,0.0347450261978917,0.0345741019891371,0.0361771570322689
"GRN",0.0467863918061796,0.0482285243042508,0.0495719463150628,0.0500378299148755,0.0506970658579537
"SARS1",0.0627651856541788,0.0649424637224072,0.0665491391841951,0.0672717197151666,0.0680084259565635
"CHPF2",0.0756800063011265,0.0781117328113872,0.0802086316448462,0.0805773437005218,0.0823875382461668
"FUT8",0.0333023782488503,0.0341147364710051,0.0350363331316821,0.0373972099614945,0.034628275295078
"GAB2",0.00809556645297648,0.00828358136561645,0.00853741934942782,0.00869801366077472,0.00870194130991528
"SLC4A7",0.0179556311126226,0.0188413767198238,0.0191162808666787,0.0201233128561245,0.0189884395259333
"MAP2K3",0.0472704359225357,0.0488272668757613,0.0501588169497575,0.0495697276099084,0.0519098480264894
"TMSB10",0.0468299717244216,0.0478590512852749,0.0495114980565114,0.0477113769006084,0.0525261414301364
"RNF19A",0.049393826942382,0.0507109036380126,0.0521724852786084,0.052662501636203,0.0535321830225009
"GABARAPL2",0.227157341154059,0.10735061550352,0.089393729841172,0.0167226532719588,0.185662799208433
"MYOC",0.00239503257390998,0.00207103594174212,0.000991205932633248,0.0035364736177471,0.000798627709586318
"FAM136A",0.122765116969572,0.0450894217732688,0.0604826952741067,0.0161005139729505,0.222532334257909
"VCL",0.0464226256512914,0.096454072481626,0.104097785328531,0.0583810396611372,0.0126788772852252
"ADSS2",0.0956534015756542,0.075343498218886,0.135491658216448,0.138452943713604,0.181308724152886
"TIMP2",0.126747842385618,0.104158645983383,0.0796496599572451,0.119019359660841,0.135279197335521
"MYOM2",0.00322146457226206,7.75375517795555e-05,0.00398642723228355,0.00182680284772161,0.00514694441065825
"RPL26L1",0.129190687954115,0.0397620797254008,0.192000469539922,0.0765295059825642,0.0791990211276675
"NSUN2",0.0504274047606495,0.0810112064505838,0.026784964938946,0.0903895247520077,0.273478695145482
"VCAN",0.141899184382398,0.114417417511903,0.0210038833536697,0.00169145778526714,0.0812972844621326
"CDH1",0.109580640414701,0.0911146753361923,0.0557900263348542,0.0681162850518039,0.064917340369525
"RAB27B",0.0986329087065296,0.0258830980739443,0.0860953088234315,0.157465305424924,0.0644185311431351
"PSMA4",0.00126997500774758,0.0820011970696924,0.0982509032334696,0.0466456398922077,0.151557438419305
"TNC",0.0268725138651913,0.0220962392028315,0.0129049904615618,0.000928915523905976,0.0317053802723095
"RIPOR3",0.00271468607822016,0.00588265151687929,0.0111891453671421,0.0102089202785286,0.000859505922976167
"RETSAT",0.25754274066632,0.0959561404377929,0.174451512723912,0.0098896377923251,0.114786002827209
"CAPG",0.0981779173814327,0.136636017680348,0.0560827801711223,0.129764767100727,0.0836572620473896
"AP2S1",0.150839738384381,0.122077503877139,0.029003031904856,0.0567192652220359,0.124494986899865
"BARX2",0.00928445745086648,0.0540712606266649,0.0152984295395104,0.00511375199061035,0.083563417779601
"CTNNA1",0.0472277166349553,0.236055376336754,0.134260645581009,0.226872733197749,0.180061225529477
"HSPA5",0.101541860917125,0.122240893249771,0.0121762319578487,0.00302318118483301,0.097987137547495
"DSG2",0.0611108906414595,0.167227213901569,0.0965893934797408,0.00444038857092242,0.0236646313367727
"CTPS2",0.132192060181727,0.0294770128686645,0.00161066517281044,0.0371551161414218,0.0070745103263036
"ATP6V1H",0.0588782469085733,0.0659224892188966,0.00269642142466029,0.0856146618122007,0.130163974446062
"POLR2B",0.0960139408903503,0.0366335338070825,0.0985008188316431,0.085469781957675,0.000810578671097108
"ATOSA",0.0680919753000407,0.103151426287437,0.00696376054837079,0.172283322990105,0.0214293517935501
"TPR",0.0713753254578204,0.11954301061098,0.163748914272128,0.28766114909022,0.0960984108455462
"CP",0.00994685266185745,0.0114566424364467,0.00415462724701581,0.0020675126129287,0.0279173226369764
"MAP4",0.0122796041964908,0.175961451804489,0.296610751940415,0.126569425842407,0.311715472092628
"RRM2B",0.128713115127817,0.056459162675806,0.0341354184910721,0.0343392605985226,0.0280238227607066
"MRPS10",0.10709216084492,0.00634323794109198,0.0212509458162832,0.0275843168200941,0.0705775155295942
"RSF1",0.0463589607560173,0.0308090167492116,0.000914906217473527,0.03565632016318,0.0192663673334132
"FAM120A",0.202206325165212,0.0347023074657375,0.13904284179101,0.404769210851286,0.126183572373718
"COL9A2",0.0204893563239953,0.0257614106137446,0.0200263071038527,0.00513481557169402,0.0635420465464696
"KITLG",0.0100947163149242,0.0094251469223443,0.00485835856074343,0.109434623157172,0.0197793341726849
"H6PD",0.076711569480172,0.193581476460747,0.21445016549474,0.0962174071582273,0.110093473681417
"VAMP3",0.317260268110488,0.146043219991821,0.0262255812467833,0.273984422079673,0.215307376008967
"EPN3",0.0252530743860527,0.00248050398126348,0.0539975202228074,0.0040758596848031,0.0568877412559234
"LTBP1",0.123600977827891,0.0364051004160185,0.0272680261201299,0.0214354044833621,0.0264915367361974
"RCN1",0.0332721775245802,0.030230807048996,0.0931622465899278,0.0256697299314617,0.160571127453958
"ELN",0.0216350712877634,0.0681396628237043,0.0224226219344028,0.00236443158909019,0.0114351945352346
"RFC2",0.101517149100849,0.0887964782447444,0.108322717351156,0.00612689180620586,0.146255543276884
"CLPTM1L",0.0985812377145352,0.0139209607732811,0.0420615384777716,0.0100841882695782,0.0755356065673287
"HEXB",0.103062490003967,0.161895640421031,0.174843092952421,0.188616347020514,0.132891800195373
"LIMA1",0.0501060575589978,0.00786505098641672,0.167401967912175,0.261313679785891,0.213567513906428
"HERPUD1",0.137541389076263,0.0968201897104455,0.018281971676609,0.0715076616077591,0.168907478463541
"CYBA",0.0611494769505413,0.00166943940078635,0.144519319984159,0.0252999354055868,0.0328810206457775
"PRSS8",0.0469690966891743,0.0506011527091665,0.0358462855707297,0.114398889265778,0.0529683943853931
"MSMO1",0.0836797789480316,0.038266451363058,0.0733180542648698,0.0719551749583686,0.0682209834334074
"AKR7A2",0.0962232070126293,0.180816404327585,0.0064984616248589,0.282070153636688,0.0144109199427241
"MRTO4",0.197927803374866,0.0176317276937667,0.0429580776248353,0.0847602411019357,0.0856637248877805
"NNAT",0.016557162272373,0.0177473271284952,0.02979710037027,0.0207387131527915,0.00159200583795374
"LAMA3",0.0189433894005202,0.0232703773843139,0.0302205916907858,0.079924626878206,0.00641576287447276
"THRAP3",0.187549060653091,0.0145739271447079,0.204242971008262,0.357480281939452,0.199608893711297
"PHPT1",0.0594857490041459,0.190144103142935,0.0285813491816866,0.0847216053369064,0.189990847424901
"ENTPD2",0.0493527491369237,0.00617744225958468,0.044284790021915,0.0220066559468056,0.013951094112675
