"","LV1","LV2","LV3","LV4"
"MYBL2",0.00487277656190737,0.00480242254364163,0.00492007273217866,0.00441104703481274
"MYC",0.0150636014381953,0.014555358301125,0.015019831941135,0.0137718584282521
"NFATC2",0.00899514579499408,0.00884965470191926,0.00900149946635532,0.00828750171300834
"NFATC3",0.0111509315640688,0.0109097345741639,0.0111926504245502,0.0102851348585721
"NFE2",0.00886517267856262,0.00858618859489731,0.00885353336857764,0.00807925605919069
"NFE2L2",0.00701013238697021,0.0067665939803859,0.00696907369367463,0.00636744870324133
"NFIX",0.00480291081291444,0.00462804539469015,0.00480751148225705,0.00435080461976503
"NFKB1",0.0127064118357555,0.0124246970447598,0.0126631368159413,0.0115692414301578
"NFKB2",0.00955828110274664,0.00932583301319791,0.00959545016105661,0.00874110588415691
"NFYC",0.015103235749791,0.014799400979246,0.0151656470222999,0.013754090664685
"NR1H2",0.0124136843164733,0.0121648390826206,0.0123883113945956,0.0113147730933359
"NR3C1",0.0180280029274728,0.0174490145774569,0.0178899277868072,0.0165416981029108
"OLIG1",0.0108731558965754,0.0106105338818293,0.0109213315091961,0.00995602070960068
"PBX2",0.0227429024119976,0.0221629211860739,0.0228866228891536,0.0207966954140687
"POU2F2",0.0180635020089105,0.0176833826631696,0.0179740564458315,0.016507183142088
"RARA",0.0183725527175458,0.0178966579021321,0.018389909752479,0.0168071604204595
"RBPJ",0.0173633493620404,0.0167808050767138,0.0171741868982937,0.015866178361092
"RELA",0.0257328630403192,0.0252032783666592,0.02570890246668,0.0234970536620599
"RELB",0.0186870615212277,0.0181282317886846,0.0187144881762262,0.0170170575160986
"RFX2",0.0126988603300485,0.0122082099892423,0.0126187905370411,0.0115288891529981
"RFX5",0.0232310200678143,0.0226893026297359,0.0231172942644454,0.0212546640222696
"RORA",0.01689036900895,0.0164011410482841,0.016930063610567,0.0156758501541402
"RUNX3",0.0136851721692749,0.0135374831499483,0.0137716367739705,0.0126318914369904
"RXRA",0.0189339286557323,0.0183752789023292,0.0188396656161179,0.0172352887175531
"RXRB",0.0282300053714841,0.0277242364674291,0.0282672862700592,0.0260194297666105
"SMARCC2",0.0224077991390991,0.0219635921108203,0.022409390669244,0.0205426690672992
"SP1",0.016725237047657,0.0162525594256369,0.0167163744191139,0.0152304520274447
"SP2",0.0178794758043366,0.01752242568489,0.0179004272193331,0.0163280371945827
"SP3",0.0180991036067575,0.0173600555546007,0.0180078824882675,0.0166443056569284
"SPI1",0.0227532598171945,0.0220588394644423,0.0226869764041804,0.0206910893805323
"SREBF1",0.0142219019332272,0.013806396316821,0.0141955147761915,0.0130516648614846
"SREBF2",0.0256173183494272,0.0249034201212824,0.0254871905614058,0.0233110749301561
"STAT1",0.00630806321904178,0.00609543098209608,0.00624571586171281,0.00572004014491077
"STAT2",0.00561096857745854,0.00546946649945402,0.00556466281884063,0.00511170179191491
"STAT3",0.0260358869543183,0.0253011438463126,0.0260192454096886,0.0236672424696816
"STAT4",0.0226912960379569,0.022155152248238,0.0227742502697164,0.0209563495503604
"STAT5A",0.0150768914596245,0.0146395490769202,0.0150109643861986,0.0137178796135228
"STAT5B",0.012329031872308,0.0120184893770745,0.0123868478696526,0.0113053715954342
"STAT6",0.0227515803669879,0.0222617803580976,0.0227886041799498,0.0209266760128241
"TAL1",0.0107995798338845,0.0104450284576959,0.010777174092619,0.00980960313934181
"TBX21",0.00778433441424108,0.00774237780640594,0.00781466490865,0.00720236987256062
"TCF3",0.0243876397227388,0.0238539561515796,0.0243983446538672,0.0223790264264651
"TCF7",0.0154565469042264,0.0150192960162165,0.0154548270816139,0.0141890301619159
"TFDP1",0.00797205624008295,0.0077613731771609,0.00795505453798657,0.00729477723805285
"TFE3",0.0184741674138788,0.0180205865349438,0.0184756106127945,0.0168646705790486
"TFEB",0.0196456902322784,0.0191325137064519,0.0195910107485295,0.0179090236446777
"TFEC",0.00907290972385564,0.00870653447036996,0.00893860123175708,0.00832021130197598
"TOPORS",0.0234916181055491,0.0224807202474563,0.023450714909688,0.021583433128223
"TP53",0.0244301146681499,0.0239145417475556,0.0243476847144249,0.0222264086393914
"USF1",0.0200384952863521,0.0194796103082429,0.0198952440269311,0.01838638963321
"USF2",0.0197752194145157,0.0192906936513771,0.0197070264826788,0.0180805891102432
"VENTX",0.0170828438938657,0.0166500619010568,0.0169282042587781,0.0155864653753531
"XBP1",0.0168025299293902,0.0166224768563104,0.0169137263724512,0.0154910977119508
"YBX1",0.0146853964108897,0.0141375619204217,0.0146505136800588,0.0133373952740716
"YY1",0.0298921276141758,0.0291676366025436,0.0298107447816786,0.0274091120098134
"ZBTB1",0.0210711626908086,0.020229116914816,0.0209827125925133,0.0194229676609487
"ZBTB18",0.0228448036030978,0.0219079456451016,0.0228423531090368,0.0210709294376585
