"","LumA_1","Normal","Basal","LumB","LumA_2"
"CAPG",1.09497259221136,0.271639511166897,2.10823851899384,0.0838870118327409,0.111110205914479
"AP2S1",1.35267217018857,0.130077758139888,1.93901366442782,0.0329478545876569,0.0892714006690527
"BARX2",0.0760441526030604,0.363208451676224,0.677066535595958,0.128901570351041,0.0185520723736884
"CTNNA1",1.18868218560869,0.0811911013482514,0.804242428154676,1.68982582504436,1.489572176878
"HSPA5",0.38480872050512,0.0151856898391309,0.830125419323846,0.681029426110319,0.265187785855198
"DSG2",0.00462197904041574,0.384976479277866,0.335487422908585,1.54106987047993,0.00631861183966601
"CTPS2",0.486298436521094,0.000645163986345056,0.0960708050704717,0.687281459732677,0.0226574056633887
"ATP6V1H",0.888748608145124,0.0135801578319731,0.371107303071555,0.874550165047347,0.15947841539061
"POLR2B",0.155292520188488,0.0932357004746361,0.241083759073121,1.47274229632812,0.00166167599596563
"ATOSA",1.09601024051545,0.00572307401093231,8.70143940197615e-06,0.501524380000425,0.834166702573126
"TPR",0.496834595753961,0.214046648944774,0.337794308068462,3.31633815780327,0.212855231404339
"CP",3.45530272700372e-07,0.0270351457603924,0.169196519100757,0.225480587607183,6.84047882049872e-05
"MAP4",0.133480154361099,0.607508395905912,0.950557495228359,1.15565020714667,1.24513702157124
"RRM2B",0.441087213318385,0.000572710342860944,0.0152280989089765,1.05762755986658,0.237173340356036
"MRPS10",0.0883124705996478,0.0201153025460065,0.534919688436735,0.786656297980591,0.0685660205568299
"RSF1",0.191428987516348,0.012984042531181,0.00376481451141504,0.599948949606888,0.0444862684408418
"FAM120A",2.32203748180511,0.00518358832430365,0.121580060559377,2.62281833226582,0.753847065395143
"COL9A2",0.387550578855741,0.14297962686693,0.509001006415659,0.00737676536139796,0.000877225554057077
"KITLG",0.33950813739402,1.28872179885574e-05,0.000499753134863203,0.359054944533105,0.285180613870117
"H6PD",0.554979039808316,1.42685448134626,0.175669362791036,1.28095749920633,1.02956903456109
"VAMP3",0.993338679618566,1.22917112147249,0.180035703487942,1.78076618428873,1.24359798879775
"EPN3",0.487575155757136,3.74423024129482e-09,0.3392793052577,0.0366571674382637,0.151014201278468
"LTBP1",0.0065177980601529,0.205323167070636,0.431630770130128,0.850029522377716,0.00731496007368099
"RCN1",0.137953836603263,0.406393038819659,1.6333494592895,0.180497535691205,0.10817204574126
"ELN",0.175597122416639,0.272671946514972,0.386821123917096,0.0563237845794139,0.0135527186103718
