"","LV1","LV2","LV3","LV4"
"KLF3",0.00688527625249267,0.0063781610541162,0.0067781661399519,0.00659135838203391
"KLF4",0.00914868197152173,0.00850028567019377,0.00890969684736134,0.00875205342142646
"LEF1",0.0104626475362953,0.00981505966602457,0.0102773267665518,0.0100600853189058
"LMO2",0.00357519205302636,0.00328495031638603,0.00347707033114753,0.0034160468946267
"MAFB",0.00256555293634094,0.00240394867789815,0.00253585184191495,0.0024664370422406
"MAFK",0.0136381058771981,0.0125793891905842,0.0133208255816146,0.013017456107697
"MAX",0.0121461771787593,0.0113114086118042,0.0118909083617109,0.0115214980398742
"MAZ",0.0139351460556937,0.0128919474658282,0.0135972522542068,0.0132633042162012
"MBD2",0.0086321875976156,0.00792620815390914,0.00836010816761727,0.00824197100105194
"MEF2A",0.00607297626006298,0.00559466435567433,0.0059149535604199,0.00580365941348368
"MEF2D",0.0157784056096368,0.0145223327894798,0.0154592534693477,0.0150068825606932
"MXI1",0.00374740601180555,0.00350005318698741,0.00366222906379885,0.0035833381206151
"MYBL1",0.00694872216915444,0.0064147387574513,0.00679794518978569,0.00663916590395282
"MYBL2",0.00432514842820815,0.003988656843401,0.00419372166514208,0.00410869079249471
"MYC",0.0121607892100589,0.0113755034298208,0.0119324143111749,0.0116808051161102
"NFATC2",0.00783720463759395,0.00728510435894598,0.00766342159630742,0.00751003195869688
"NFATC3",0.0094807664534698,0.00880236556482117,0.00931131941428296,0.00903841498804897
"NFE2",0.00799131814866668,0.00737572863615217,0.00783038790055979,0.00758790161176416
"NFE2L2",0.00606147133070309,0.00558250451197601,0.00595855591140369,0.00578506193404341
"NFIX",0.00428142455599067,0.00403380405124786,0.00420063317902605,0.00407002402447459
"NFKB1",0.0106328498439484,0.00987697451590556,0.010449016889629,0.0101515829250348
"NFKB2",0.00806813459415383,0.00742407013761759,0.00785916062714278,0.00766558175845328
"NFYC",0.0126008364028537,0.0115759368960668,0.0123486792811452,0.0119523862354222
"NR1H2",0.0105885465684275,0.00980665953540169,0.0103878027152431,0.0100781151242274
"NR3C1",0.0167058508247984,0.0154060927051042,0.0163708202624099,0.0159489762621171
"OLIG1",0.00935649426856725,0.00855763603949857,0.00910979287168354,0.00885064373793221
"PBX2",0.019334216709982,0.0176636709676035,0.0190132476826603,0.0183970833453148
"POU2F2",0.0148007537202732,0.0137051297189022,0.0143869599940057,0.0140851404135404
"RARA",0.0158849202670085,0.0146015161505226,0.0156411603084671,0.0150961613518807
"RBPJ",0.0148916247748035,0.0136523158681934,0.0146665615799491,0.0142258781703452
"RELA",0.0216227633270512,0.0200462645924065,0.0212364371737251,0.0205923312794158
"RELB",0.0163643276482545,0.01506497774693,0.0159263959836406,0.0154812220258886
"RFX2",0.0105826051768456,0.00970630750784656,0.010345400923967,0.0101250805176616
"RFX5",0.0190384883863952,0.0175348553696686,0.0184449407830765,0.0181898215079813
"RORA",0.0145703089055815,0.0134810322877318,0.0142476364959422,0.0139965894490311
"RUNX3",0.0119316180625605,0.010992227336895,0.0116353641548688,0.0113620842355817
