"","LV1","LV2"
"IKBKB",0.883162222768839,0.792766242547348
"EIF3E",1.02018644532575,0.213465174245943
"EEF1D",0.931916018273601,0.361069037943102
"ASAH1",0.938979763464503,0.329361455199679
"BNIP3L",0.161049611900073,0.0824540555217899
"FCGRT",0.459541151334637,0.912998449045495
"SF3A2",0.242455984889343,1.20430947624674
"SGTA",0.292018624396303,1.2373266325274
"LILRB1",0.286161779800349,0.316367997146647
"C19orf53",0.691260019985094,0.717955090018415
"GPI",0.184471288926128,1.06476375628678
"TBCB",0.549684790543147,0.738577462793007
"POLR2I",0.491378527708261,0.657225525333925
"PRKD2",0.217897032094039,0.582894397620882
"CEACAM4",0.849653541309274,0.575215304411854
"TYK2",0.824433032071768,0.983254535163731
"CDC37",0.401756442232848,0.981575534735974
"NAPA",0.133948000355144,0.502062407914098
"DNASE2",0.236563179281773,0.787383423618037
"PRPF31",0.478126698997767,1.24394649186423
"DDX49",0.625225441898355,1.09528969554305
"ETHE1",0.551019366064812,0.850363825250845
"MTPN",0.775615052873934,0.70698010877103
"DNAJB6",0.457724511394345,0.704701011394379
"CHCHD2",0.984985461976756,0.494317170838624
"BUD31",0.609916573577395,0.468676701792126
"TAF6",0.446936132351818,1.35906373500812
"BLVRA",0.373234727181785,0.262184592581606
"NMRK1",0.911502238575631,0.322050663151197
"TGFBR1",1.01706733788689,0.166475897029827
"SUSD1",0.377120348010016,0.708190631969102
"RAPGEF1",0.521476794594249,1.00963274515539
"NPDC1",0.574406120098936,0.455599053427133
"PTGDS",0.324203660605073,0.609265376178566
"ABCA2",0.572803711568611,0.553545534128603
"UBE2R2",0.304884534446051,0.71870014016324
"EXOSC3",1.02626197141058,0.256457276975738
"PDLIM1",0.159911261973802,0.921798726408499
"EIF3A",0.463570058055076,0.85066130403395
"LIPA",0.290221349567986,0.788305111607607
"SFXN3",0.553174113813887,0.963406625466092
"FBXW4",0.973090263564322,0.715174963888563
"TNKS2",0.800624117872871,0.475021249829599
"P2RX1",0.751377400469481,0.747369457827488
"FTSJ3",0.324617174549703,1.10364947705267
"SMARCD2",0.274513992342587,1.43552990167583
"DDX5",0.983426757093788,0.318887814437929
"CYTH1",0.881241074693582,0.76493172192675
"CCL2",0.0309470634473186,0.0247335281604363
"ABI3",0.244001059275242,0.762729447742617
"HDAC5",0.311654721080613,1.12732738340177
"GAR1",0.645429084797777,0.918761964297709
"FRG1",0.925310035429134,0.444484252778715
"DHX15",0.969815233633608,0.515375392542139
"FNBP4",1.00934921268524,0.408010358656315
"DNAJC4",0.506113158676557,0.940177641398956
"EHD1",0.233072531626212,1.16104983154718
"UNC93B1",0.176686036713957,0.198779022560887
"MS4A6A",0.893648503815611,0.1850966850492
"TMEM109",0.389577761543976,1.12876922425046
"RNF141",0.709306988342144,0.273847685853147
"BIRC2",1.11456317416248,0.0925559954677266
"UBE4A",1.0879418244341,0.316338074425014
"C11orf21",0.796928437791923,0.253124458821346
"RPS13",0.871245363436057,0.433708391700347
"NDUFS8",0.365766694282534,0.820049066186819
"TCIRG1",0.739444377719222,0.589067887427066
"MLEC",0.726824798854636,1.1107291240004
"BIN2",0.624651881252907,0.899706365712867
"PTGES3",1.14665478814305,0.520983580006752
"RSRC2",1.25106583172838,0.310589182334956
"LTA4H",0.260671723907225,0.322148321567508
"ARPC3",0.904748732198985,0.485457771664857
"SH2B3",0.682170800450086,0.897032310513893
"CREBL2",0.960299952356525,0.407631490843396
"CDKN1B",1.16609686350803,0.480224612727846
"LTBR",0.445888936479487,0.638510274301992
"RAB5B",0.390022755274357,1.13332761122272
"ING4",1.07959376961778,0.22226083172618
"SPSB2",0.372758649310684,0.338619451660283
"C12orf57",0.576912926334465,0.349472937009688
"PTPN6",0.226303184877666,1.11717942721552
"GOLT1B",1.05220432014775,0.169776748859746
"SRSF9",0.722141280887643,0.705446576427917
"KLRB1",0.397010501741202,0.0933445900103722
"TMEM14C",0.671518898030239,0.23993421164551
"SERINC1",0.867136948724298,0.0646448186158715
"MCM3",0.319807541699371,1.16460196799748
"FBXO9",0.152713147760881,0.251737285098409
"PHF1",0.742453355082066,1.00646102164024
"FBRSL1",0.577088349822167,1.02022855253963
"PDCL3",0.837417841330387,0.59188125172016
"FBXO6",0.104356494462004,0.104211557423517
"EBNA1BP2",0.759707634280839,0.710773979661638
"ATP6V0B",0.582680217266015,0.584005165919193
"DPH5",1.00717806757959,0.268789901173612
"RPS6KA1",0.364664193673831,1.20963808520733
"SPCS2",0.851123045942187,0.531678569716912
"MED28",1.08780624941015,0.341164041376409
"NDUFB3",0.76222218988117,0.0831155593229362
"UBE2B",0.977837915048307,0.250517593726619
"PTBP3",0.816235220173591,0.561241090802436
"RAD23B",0.380444368678636,1.03372323051311
"SET",1.00812894448558,0.785956149083836
"PTPA",0.395087445936822,1.16273987445748
"NEK6",0.865935199562445,0.500353833104955
"IFI27L2",0.698786847995033,0.429197851795688
"DLST",0.775800369503546,1.02583525060569
"RBM25",1.00673959679193,0.265835950354878
"SUPT7L",0.970039057799969,0.331443159923076
"YPEL5",1.04800067418118,0.162135393896757
"AFTPH",0.866608398417117,0.5655167288853
"OGFRL1",0.852746556552965,0.190354994793942
"IFIT3",0.123338853472796,0.0312870946158868
"IFIT2",0.101953231529083,0.0226344574931884
"DENND10",0.856647410931139,0.171857991873801
"CD274",0.0979446061461742,0.0119975868195731
"NUP43",0.86015199334531,0.499072416450135
"MRPS14",0.981181244205013,0.241551132346161
"HSPH1",0.355329005063703,0.267799206161416
"TMPO",0.958885982320395,0.460945848492427
"CLU",0.108320275610662,0.689574342142558
"EPHX2",0.612204084009661,0.626923291350464
"LYPLA1",1.15239024715,0.185785792578381
"SCPEP1",0.455649872468831,0.564024932515445
"ADCY7",0.908302497191131,0.385352024877321
"PLBD1",0.469954501548241,0.48196309522926
"CSTA",0.785300275016578,0.21407563463945
"NAA50",1.114553775158,0.524218418961429
"ZCCHC17",0.968250365472614,0.289895029441679
"CCR2",0.675852615053473,0.321850855259154
"UBL3",1.0773009080831,0.208871664664454
"MTERF4",0.945890163399431,0.462134919000535
"SASH3",0.314552833622545,1.09484262626227
"MRPS2",0.461494102987894,0.95755364089225
"LAX1",0.76313576162707,0.553141196201347
"KIAA1191",0.952754667081416,0.735586830957543
"LY9",0.736983724000387,0.857707924905765
"SEPTIN7",1.09187977506095,0.501821615358957
"NT5C3A",0.246304861261897,0.0333200205499684
"PRDX4",0.764485261022572,0.264661519027668
"NMI",0.509411397568086,0.0680470635831656
"RAP2C",1.08304471609012,0.0351967825541052
"EXOSC9",0.706298088917421,0.451340407452662
"B9D2",0.349249133626507,0.760309680993853
"CSE1L",0.620421147480257,0.418766153097738
"CEACAM8",0.0834778573016184,0.159461324655881
"F13A1",0.181993613427524,0.724097151131102
"SNRPC",0.784803473711012,0.885193149164898
"LRRFIP1",0.636376009864938,0.582218693224211
"EMC3",0.0987545275968067,0.279907240870823
"MT2A",0.0983464035216667,0.0926382831961354
"GOT2",0.263988938893741,1.08218290234622
"GGA3",0.547818176462928,1.22736119014898
"PSD4",0.5386970492361,0.864441246626748
"CLPP",0.574543562108081,0.885535414971994
"PSMF1",0.15893690720977,0.737971863743826
"TMX4",1.00876369853517,0.597513676300869
"PCID2",0.979840203637204,0.522447405612914
"CAPNS1",0.206578331490452,1.11040605790024
"UBA2",0.955987793816996,0.456569844649476
"CCR7",0.598549255620501,0.706126496322924
"TRAP1",0.600619038207669,0.830443350116878
"PLEKHG3",0.781857568777016,0.957937520794418
"EVI2A",0.754710337027399,0.0466505896139309
"CANX",0.558799414946086,0.918259790201758
"YEATS4",0.917772069127498,0.183789886567403
"IDUA",0.636715337260647,0.69323762960073
"ADGRE2",0.369143977867637,0.410968628959489
"EPS15L1",0.399314559064798,1.02887067465218
"TUBA4A",0.210484410498957,0.993256767158332
"ECHS1",0.372915802332522,1.36452402241558
"MRPS12",0.663015569318978,0.828954269062102
"IVD",0.714341188936623,0.835733556658034
"MBD4",1.29055221962126,0.332482158414543
"KRI1",0.683580605423465,0.934562299655328
"RIPK3",0.467287976257044,0.701572200387158
"SEC14L1",0.397935932777389,0.827157878959941
"CDKN1C",0.101405958534305,0.253055010839601
"CBFA2T3",0.376408975868878,1.04338420546381
"MPP1",0.127312396375801,0.393796518271852
"COX7B",0.681417916211092,0.0611397959480787
"CAP1",0.430073165702546,0.999783521225102
"SLC6A6",0.761826663715829,0.317044006027052
"ACLY",0.283178253039791,1.15850359677485
"VPS25",0.887063829211309,0.481219311419914
"ACTR10",0.975305823652634,0.20598852974378
"LGALS3",0.229626717953445,0.262460170413956
"DCAF15",1.01149503750935,1.07621247967447
"TRIM21",0.203917132829184,0.370371436817908
"RAN",0.909513654002301,0.45565066262486
"RPA1",0.228628938369561,1.37151853476168
"EIF5A",0.482479903522427,0.969287624161851
"CLEC10A",0.337698206972413,0.597860220412666
"FCRL2",0.558126915189025,0.308242574641243
"TMCC2",0.0530596099557644,0.149135008103882
"CSNK1G2",0.7167144686212,0.813801749407771
"LGALS12",0.315111676411825,0.613756513261852
"RTN3",0.472267473176523,0.784427310302802
"MKRN1",0.091067768997502,0.275390952010269
"NUMB",0.478284334490708,0.533917517148909
"PRPF38B",1.08905549119454,0.179572963913418
"SORT1",0.129386920425806,0.290230754612049
"LAMTOR5",1.01922625343514,0.212262779298479
"YWHAQ",0.403210765201868,0.451429096672715
"KLRD1",0.447983908894796,0.329985881648909
"DDB2",0.43144923753507,0.577308512610707
"RNF138",1.02798660108651,0.136950838955579
"TMEM258",0.651191180006082,0.521199597100377
"TCN1",0.094082837808073,0.159265629266379
"C5AR2",0.800653620188177,0.659403374983352
"UBAC2",0.874194448279515,0.846790769229938
"ANXA1",0.926688677610664,0.117652028706166
"AGTPBP1",0.658718633094365,0.178086554788893
"OASL",0.100746929913359,0.0737748309858103
"PNPLA8",1.13349723130811,0.155020458667214
"CD63",0.359508002767204,0.702010848174788
"TESPA1",0.60920181642934,0.726547857039616
"EGLN1",0.575646911200489,0.461172896228258
"PWP1",0.864540758381048,0.776628434406071
"LCP1",0.343922693158392,1.11802645086393
"DBNL",0.38544423969085,1.20847894395796
"MYO1G",0.25288915796673,0.703542401251565
"SRSF1",0.912233509927457,0.419900966810476
"TRA2B",1.00886501421541,0.478643946184781
"CDK9",0.526092647195252,1.08435355946821
"C9orf78",0.120810421128813,0.206093461415695
"USP20",0.703555602312123,1.13154828800845
"CCN3",0.277918814787953,0.609003102313548
"IL11RA",0.802838601880264,0.618257147898187
"CD72",0.503410076065522,0.382002113515358
"SDCBP",0.472531654045983,0.40272195307494
"SORL1",0.528579663579245,0.492343221789671
"CASP5",0.113576205704361,0.0192202007373118
"HADHB",0.313410384911574,1.03278485294831
"FBXO11",1.20550517973504,0.222929697274674
"ATRAID",0.792598595939369,0.800045363609433
"ACTR1A",0.284338912155277,1.48600390265018
"DUSP5",0.211727566999606,0.254342833683438
"ENTPD1",0.808857332820895,0.13509197451241
"ANXA7",0.483330248306391,1.10839972659895
"IDH1",0.663966007864296,0.44925689229185
"ITPRID2",0.643955831199795,0.109081849105272
"RNF185",0.374391809302526,0.958102878098455
"PARVG",0.543121127103702,0.771864934472479
"CLSTN3",0.516676384709904,0.728253987742461
"GLIPR1",0.78589662194074,0.140768349544183
"ITGB7",0.279265964068634,0.799790293360575
"CSAD",0.955186262586994,0.29524028267584
"LMBR1L",0.78639052446335,0.766160936904152
"ESYT1",0.363793866349349,1.13868796640398
"VPS37B",0.371093352058517,1.1815239375401
"RHOF",0.591608864280355,1.13688325696665
"ABHD13",1.03249614490273,0.0482285147832539
"LYSMD2",0.437652348557689,0.0687835169647147
"HAPLN3",0.886392370392488,0.496185229680046
"CDR2",0.675835121276345,0.825014792450348
"ARHGAP17",0.250952841019872,0.727178647434272
"CMTM3",0.586096983276249,0.746178131314095
"CMTM2",0.632735063250733,0.383632095237701
"MBTPS1",0.898459562234339,0.60540872162907
"TOB1",0.796845507587416,0.45618881529912
"SGSM2",0.87053466591096,0.701435817304657
"NPEPPS",0.611526697269146,0.584408502126913
"SSH2",0.408632836113557,0.505458231569996
"WDR45B",0.967762768937589,0.617396273822552
"CBX4",0.598257521245536,0.776605984117162
"ZCCHC2",0.269853404952671,0.139410958902383
"PMAIP1",1.05223510945706,0.100545098870674
"NT5C3B",0.621893572780345,0.26151002394234
"RETREG3",0.710465699104423,0.989647486405505
"IFITM3",0.176016545260612,0.186376472693781
"APP",0.149544372058598,0.93981791646611
"AKT1",0.752296478087829,0.972615243751346
"ZNF787",0.28159244076126,0.760085462393351
"RPS11",0.881967431157525,0.520322086263002
"EFHD2",0.451466000087547,0.814184138600474
"PGD",0.395078280305912,1.03596644124882
"SH3BGRL3",0.219342515075105,1.03719663682536
"ZNF593",0.564054005075973,0.551502062624255
"SERBP1",0.792662492382854,0.689386468666113
"PRKACB",0.881361855777522,0.23491800269232
"C1orf162",0.251231307926408,0.571453828213951
"CD53",0.376099064688065,0.531052713211407
"CREG1",0.343823119201044,0.163270326546542
"DCAF6",0.218460809845101,0.606830767833965
"UFC1",0.749551825367274,0.502157871530299
"USP21",0.636482283666322,0.95439963976365
"PRCC",0.365990549246408,1.49738722447909
"ADAMTSL4",0.415841342351288,0.597919545240543
"MCL1",0.973385320791725,0.327662265250764
"MINDY1",0.431678877278681,0.830337644216507
"HAX1",0.939205071824586,0.569844321066565
"C1orf43",1.03592141892751,0.288256967526269
"ILF2",0.841366059636725,0.803378625194163
"RIT1",0.728011726555116,0.174507252381202
"LYST",0.792455313566803,0.286822587530459
"ARF1",0.449883345208075,1.23927955566674
"C1orf35",0.813744002914318,0.911384193038551
"PARP1",0.23633160147223,1.02353235543686
"EML4",0.903252263394107,0.234623086746884
"CALM2",1.09724245090826,0.212406680923704
"SNRPG",0.776280030544669,0.112155595899893
"CIAO1",0.868705214589654,0.659500265942739
"TEX261",0.496871697227237,0.994865051132336
"SLC20A1",0.452663336148581,0.463396680778803
"UBXN4",1.2320265700284,0.202704853699311
"SPOPL",1.03933244508555,0.0934184413782034
"DYNC1LI1",0.642097138216701,0.48895812262858
"UBA3",0.917565382867615,0.108197922879619
"SRPRB",0.843671601725372,0.763558479341898
"TIFA",0.251145843599597,0.0352081212236559
"IQGAP2",0.620606345634152,0.669387906582195
"FGD2",0.386683587353797,0.336543419967126
"SCML4",0.811397291456846,0.636078031335874
"PRPS1",0.870737034478812,0.861872950264494
"MTDH",0.934179072758708,0.520858311544702
"UGCG",0.748613755715917,0.0955319580550883
"GSN",0.298484431061668,1.04258438131465
"NACC2",0.555445058139165,0.47110845464486
"ITPRIP",0.34027207618557,0.589616932046586
"APIP",0.895351779972572,0.0546040325047942
"PAK1",0.322883342994304,0.927988473774679
"ATM",0.688566131353298,0.279358105661257
"TIAL1",1.09363083897334,0.580585199366532
"ARL14EP",0.93915180845007,0.216816031286746
"AHCTF1",0.592569210523631,0.659534781793723
"CFDP1",0.855461031235456,0.422486050158874
"PPP4R1",0.501940667880692,0.337812672497179
"SLC25A28",0.457168094968358,0.225254113846271
"MOV10",0.150868786248512,0.118318879899452
"OXA1L",0.728290308806589,1.08789104865962
"DRAM2",0.930505613888601,0.21155534085821
"EEF1A1",1.06146210944762,0.30837536530576
"HK1",0.160509048692722,0.885484007394195
"UBE2L6",0.092322667700098,0.117249966171503
"SMG1",1.08863201749638,0.402737427950122
"SSBP3",0.142803631854454,0.726683545875134
"VPS26C",0.875261991780026,0.843648956507398
"SNX22",0.475309183735962,0.579773082222396
"LDLRAP1",0.549936194669598,0.796376858812939
"SLC45A3",0.420783071960643,0.428388958373571
"DMTN",0.148275025119499,0.510436598639815
"FBXW5",0.555607855524438,0.851529887514878
"CBR1",0.236893166059554,0.283114584395238
"CBR3",0.564432771156132,0.324943139360546
