"","Basal","none","LumA_Normal","Her2","LumB"
"SLC39A9",0.0165929245786,0.0174072904821382,0.0178606650265911,0.0183920403353676,0.0181708369137886
"IBSP",0.000386112273247677,0.000363181386447762,0.000379622749081324,0.000385813846658172,0.00040787798705346
"RABEP1",0.00942909549274202,0.010112330894721,0.0103785210973447,0.0105937831910597,0.0103396345861504
"HMGB3",0.00806407769509008,0.00780004562852511,0.00803426304676128,0.0083910438781809,0.00868870250402925
"GRN",0.00940849633706579,0.00942490745468256,0.0097763759352728,0.00996442331318863,0.0101177971711441
"SARS1",0.0167213250304864,0.0168247599709258,0.0174447944075037,0.017759913664065,0.0179956817967955
"CHPF2",0.0193036891636228,0.0192403404250631,0.0199833956748024,0.0202836767495461,0.0206562403571207
"FUT8",0.00880226807540581,0.0093857970226593,0.00961419095446411,0.00988240836580801,0.00967232964355273
"GAB2",0.00155175996310755,0.00156653749768322,0.001621665860511,0.00165661878211121,0.00167653321376117
"SLC4A7",0.00492394451323264,0.00520511761295621,0.00536924098535052,0.00545612339963429,0.00537475611164969
"MAP2K3",0.0114394448880555,0.0111105444268358,0.0115601191326921,0.011802640464318,0.0121922308119941
"TMSB10",0.0140111348778008,0.0132979426510989,0.013791401774249,0.0142303751754124,0.0148738664638997
"RNF19A",0.0143518574085177,0.0142650006403858,0.0147234180737069,0.0151814137882438,0.0154751854442996
"GABARAPL2",0.253298284882629,0.122798725435367,0.102070898833032,0.0255793098036855,0.248632449825824
"MYOC",0.00234859116084924,0.00215359075989043,0.000856860965157684,0.00562196335414664,0.0071312114464799
"FAM136A",0.358005567114878,0.00905315888732353,0.0108242800617285,0.0179237785205759,0.181206808890676
"VCL",0.119192240231879,0.0584665452014023,0.0821535427480503,0.106038381568964,0.0214297038105722
"ADSS2",0.108991042205145,0.0649128821388862,0.112974158793439,0.180230633079483,0.282734717156234
"TIMP2",0.189679829824698,0.092603690656763,0.0987352578089059,0.163790864667433,0.142195796352136
"MYOM2",0.00422292769328811,0.000310335200308572,0.00498478490665871,0.0105919575057363,0.00339796147916546
"RPL26L1",0.163591151039995,0.0456571403861942,0.175467353281303,0.116819038879248,0.12320293346514
"NSUN2",0.0960426885618737,0.035552454025441,0.0108203188850436,0.147344839678311,0.341196148924676
"VCAN",0.137471891494374,0.128522602953585,0.0410692460949,0.00215855662419685,0.124256434120414
"CDH1",0.0531656987503945,0.109829912645775,0.0282147142892282,0.125697011555661,0.148663383214574
"RAB27B",0.0293883628925624,0.0904293363936694,0.160299520288446,0.157598196920001,0.0866848296759513
"PSMA4",0.00291531600345444,0.045209321890191,0.0550950936537747,0.09433614257633,0.253865116654483
"TNC",0.0707282511227691,0.00682949169781227,0.00853719331647946,0.00126997816236599,0.0337718565111743
"RIPOR3",0.00174579239540229,0.0108437557331972,0.016202969194115,0.0132692430069936,0.00246048186523529
"RETSAT",0.164752025885812,0.228699069207494,0.202845086647361,0.0171768224851423,0.171028603669068
"CAPG",0.240065085012439,0.0817103799959597,0.0449388185691377,0.165560358415739,0.0834864626976716
"AP2S1",0.228993634406166,0.0901624769111212,0.0175176307556184,0.0959700084297025,0.151991658401963
"BARX2",0.0836577904270074,0.0114104989215916,0.0115921867537895,0.0041624359171697,0.0966004847460931
"CTNNA1",0.0326260076640052,0.315194530350009,0.124874991384888,0.26966766260456,0.259121369735295
"HSPA5",0.166597014234021,0.0930173566139005,0.00942846623870349,0.00442861815542592,0.133719652835395
"DSG2",0.281346685062549,0.0633739617954106,0.0565280576097214,0.00566182135006345,0.0278453049407078
"CTPS2",0.115054985946045,0.043343599060392,0.00259841401323975,0.0739919582394686,0.0117926909782647
